Price,Room,Sqr_Meter,Location,City
530,5,105,"Tunis, Agba",Agba
600,4,80,"Tunis, Agba",Agba
650,5,100,"Tunis, Agba",Agba
500,5,105,"Tunis, Agba",Agba
450,5,110,"Tunis, Agba",Agba
550,5,100,"Tunis, Agba",Agba
270,5,75,"Tunis, Agba",Agba
450,4,90,"Tunis, Agba",Agba
450,5,90,"Tunis, Agba",Agba
540,5,108,"Tunis, Agba",Agba
500,5,110,"Tunis, Agba",Agba
550,5,110,"Tunis, Agba",Agba
550,5,110,"Tunis, Agba",Agba
300,5,65,"Tunis, Agba",Agba
450,5,72,"Tunis, Agba",Agba
400,5,90,"Tunis, Agba",Agba
400,4,70,"Tunis, Agba",Agba
350,3,65,"Tunis, Agba",Agba
400,3,65,"Tunis, Agba",Agba
550,5,115,"Tunis, Agba",Agba
400,4,88,"Tunis, Agba",Agba
550,5,110,"Tunis, Agba",Agba
550,5,110,"Tunis, Agba",Agba
470,4,85,"Tunis, Agba",Agba
400,5,90,"Tunis, Agba",Agba
550,5,100,"Tunis, Agba",Agba
450,5,108,"Tunis, Agba",Agba
320,3,70,"Tunis, Agba",Agba
200,4,40,"Tunis, Agba",Agba
450,5,95,"Tunis, Agba",Agba
320,3,70,"Tunis, Agba",Agba
400,4,88,"Tunis, Agba",Agba
450,5,95,"Tunis, Agba",Agba
330,3,80,"Tunis, Agba",Agba
450,3,80,"Tunis, Agba",Agba
590,4,125,"Tunis, Agba",Agba
500,4,80,"Tunis, Agba",Agba
500,4,80,"Tunis, Agba",Agba
400,3,60,"Tunis, Agba",Agba
450,3,80,"Tunis, Agba",Agba
900,3,90,"Tunis, Ain Zaghouan",Ain Zaghouan
600,1,40,"Tunis, Ain Zaghouan",Ain Zaghouan
1100,3,100,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,3,150,"Tunis, Ain Zaghouan",Ain Zaghouan
850,4,145,"Tunis, Ain Zaghouan",Ain Zaghouan
1400,3,100,"Tunis, Ain Zaghouan",Ain Zaghouan
2800,5,220,"Tunis, Ain Zaghouan",Ain Zaghouan
180,2,109,"Tunis, Ain Zaghouan",Ain Zaghouan
600,2,40,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,3,100,"Tunis, Ain Zaghouan",Ain Zaghouan
1600,3,120,"Tunis, Ain Zaghouan",Ain Zaghouan
2000,4,200,"Tunis, Ain Zaghouan",Ain Zaghouan
600,2,40,"Tunis, Ain Zaghouan",Ain Zaghouan
700,2,110,"Tunis, Ain Zaghouan",Ain Zaghouan
1200,2,80,"Tunis, Ain Zaghouan",Ain Zaghouan
650,2,65,"Tunis, Ain Zaghouan",Ain Zaghouan
950,2,130,"Tunis, Ain Zaghouan",Ain Zaghouan
950,3,120,"Tunis, Ain Zaghouan",Ain Zaghouan
1500,4,150,"Tunis, Ain Zaghouan",Ain Zaghouan
2500,3,170,"Tunis, Ain Zaghouan",Ain Zaghouan
2500,3,170,"Tunis, Ain Zaghouan",Ain Zaghouan
900,3,120,"Tunis, Ain Zaghouan",Ain Zaghouan
950,2,130,"Tunis, Ain Zaghouan",Ain Zaghouan
2000,3,180,"Tunis, Ain Zaghouan",Ain Zaghouan
350,1,80,"Tunis, Ain Zaghouan",Ain Zaghouan
950,3,130,"Tunis, Ain Zaghouan",Ain Zaghouan
950,2,130,"Tunis, Ain Zaghouan",Ain Zaghouan
350,4,160,"Tunis, Ain Zaghouan",Ain Zaghouan
750,3,120,"Tunis, Ain Zaghouan",Ain Zaghouan
900,3,125,"Tunis, Ain Zaghouan",Ain Zaghouan
1600,2,70,"Tunis, Ain Zaghouan",Ain Zaghouan
1300,3,120,"Tunis, Ain Zaghouan",Ain Zaghouan
900,4,160,"Tunis, Ain Zaghouan",Ain Zaghouan
1250,4,140,"Tunis, Ain Zaghouan",Ain Zaghouan
950,3,120,"Tunis, Ain Zaghouan",Ain Zaghouan
1400,3,100,"Tunis, Ain Zaghouan",Ain Zaghouan
1950,3,110,"Tunis, Ain Zaghouan",Ain Zaghouan
3000,1,100,"Tunis, Ain Zaghouan",Ain Zaghouan
850,1,75,"Tunis, Ain Zaghouan",Ain Zaghouan
1300,3,120,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,4,116,"Tunis, Ain Zaghouan",Ain Zaghouan
780,4,150,"Tunis, Ain Zaghouan",Ain Zaghouan
780,4,150,"Tunis, Ain Zaghouan",Ain Zaghouan
780,4,150,"Tunis, Ain Zaghouan",Ain Zaghouan
3000,3,169,"Tunis, Ain Zaghouan",Ain Zaghouan
1800,5,170,"Tunis, Ain Zaghouan",Ain Zaghouan
1500,2,90,"Tunis, Ain Zaghouan",Ain Zaghouan
1200,4,120,"Tunis, Ain Zaghouan",Ain Zaghouan
650,2,70,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,1,60,"Tunis, Ain Zaghouan",Ain Zaghouan
1100,5,175,"Tunis, Ain Zaghouan",Ain Zaghouan
1400,2,55,"Tunis, Ain Zaghouan",Ain Zaghouan
1100,5,160,"Tunis, Ain Zaghouan",Ain Zaghouan
850,3,100,"Tunis, Ain Zaghouan",Ain Zaghouan
950,2,120,"Tunis, Ain Zaghouan",Ain Zaghouan
850,4,120,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,1,60,"Tunis, Ain Zaghouan",Ain Zaghouan
950,1,120,"Tunis, Ain Zaghouan",Ain Zaghouan
750,2,103,"Tunis, Ain Zaghouan",Ain Zaghouan
750,2,80,"Tunis, Ain Zaghouan",Ain Zaghouan
1300,5,150,"Tunis, Ain Zaghouan",Ain Zaghouan
800,1,90,"Tunis, Ain Zaghouan",Ain Zaghouan
850,2,75,"Tunis, Ain Zaghouan",Ain Zaghouan
1200,4,120,"Tunis, Ain Zaghouan",Ain Zaghouan
