Price,Room,Sqr_Meter,Location,City,Unit
100000,2,72,"Ben arous, Ben arous",Ben Arous,1388.888889
85000,3,85,"Ben arous, Ben arous",Ben Arous,1000
85000,3,80,"Ben arous, Ben arous",Ben Arous,1062.5
135000,3,110,"Ben arous, Ben arous",Ben Arous,1227.272727
160000,3,100,"Ben arous, Ben arous",Ben Arous,1600
170000,3,140,"Ben arous, Ben arous",Ben Arous,1214.285714
184000,3,101,"Ben arous, Ben arous",Ben Arous,1821.782178
190000,3,112,"Ben arous, Ben arous",Ben Arous,1696.428571
238000,3,113,"Ben arous, Ben arous",Ben Arous,2106.19469
320000,3,250,"Ben arous, Ben arous",Ben Arous,1280
70000,4,55,"Ben arous, Ben arous",Ben Arous,1272.727273
72000,4,55,"Ben arous, Ben arous",Ben Arous,1309.090909
80000,4,75,"Ben arous, Ben arous",Ben Arous,1066.666667
90000,4,85,"Ben arous, Ben arous",Ben Arous,1058.823529
95000,4,54,"Ben arous, Ben arous",Ben Arous,1759.259259
95000,4,54,"Ben arous, Ben arous",Ben Arous,1759.259259
100000,4,90,"Ben arous, Ben arous",Ben Arous,1111.111111
105000,4,65,"Ben arous, Ben arous",Ben Arous,1615.384615
105000,4,80,"Ben arous, Ben arous",Ben Arous,1312.5
120000,4,55,"Ben arous, Ben arous",Ben Arous,2181.818182
120000,4,85,"Ben arous, Ben arous",Ben Arous,1411.764706
120000,4,74,"Ben arous, Ben arous",Ben Arous,1621.621622
130000,4,110,"Ben arous, Ben arous",Ben Arous,1181.818182
130000,4,97,"Ben arous, Ben arous",Ben Arous,1340.206186
135000,4,97,"Ben arous, Ben arous",Ben Arous,1391.752577
135000,4,110,"Ben arous, Ben arous",Ben Arous,1227.272727
135000,4,97,"Ben arous, Ben arous",Ben Arous,1391.752577
140000,4,100,"Ben arous, Ben arous",Ben Arous,1400
150000,4,120,"Ben arous, Ben arous",Ben Arous,1250
155000,4,85,"Ben arous, Ben arous",Ben Arous,1823.529412
155000,4,103,"Ben arous, Ben arous",Ben Arous,1504.854369
160000,4,89,"Ben arous, Ben arous",Ben Arous,1797.752809
163620,4,101,"Ben arous, Ben arous",Ben Arous,1620
164000,4,101,"Ben arous, Ben arous",Ben Arous,1623.762376
164000,4,101,"Ben arous, Ben arous",Ben Arous,1623.762376
170000,4,111,"Ben arous, Ben arous",Ben Arous,1531.531532
170000,4,111,"Ben arous, Ben arous",Ben Arous,1531.531532
170000,4,112,"Ben arous, Ben arous",Ben Arous,1517.857143
170000,4,93,"Ben arous, Ben arous",Ben Arous,1827.956989
173000,4,100,"Ben arous, Ben arous",Ben Arous,1730
184000,4,101,"Ben arous, Ben arous",Ben Arous,1821.782178
185000,4,150,"Ben arous, Ben arous",Ben Arous,1233.333333
185000,4,136,"Ben arous, Ben arous",Ben Arous,1360.294118
200000,4,140,"Ben arous, Ben arous",Ben Arous,1428.571429
220000,4,115,"Ben arous, Ben arous",Ben Arous,1913.043478
220000,4,100,"Ben arous, Ben arous",Ben Arous,2200
225000,4,144,"Ben arous, Ben arous",Ben Arous,1562.5
230000,4,133,"Ben arous, Ben arous",Ben Arous,1729.323308
235000,4,147,"Ben arous, Ben arous",Ben Arous,1598.639456
235000,4,147,"Ben arous, Ben arous",Ben Arous,1598.639456
240000,4,130,"Ben arous, Ben arous",Ben Arous,1846.153846
250000,4,125,"Ben arous, Ben arous",Ben Arous,2000
260000,4,97,"Ben arous, Ben arous",Ben Arous,2680.412371
270000,4,127,"Ben arous, Ben arous",Ben Arous,2125.984252
320000,4,210,"Ben arous, Ben arous",Ben Arous,1523.809524
320000,4,210,"Ben arous, Ben arous",Ben Arous,1523.809524
65000,5,75,"Ben arous, Ben arous",Ben Arous,866.6666667
65000,5,75,"Ben arous, Ben arous",Ben Arous,866.6666667
65000,5,75,"Ben arous, Ben arous",Ben Arous,866.6666667
65000,5,75,"Ben arous, Ben arous",Ben Arous,866.6666667
68000,5,100,"Ben arous, Ben arous",Ben Arous,680
80000,5,82,"Ben arous, Ben arous",Ben Arous,975.6097561
90000,5,100,"Ben arous, Ben arous",Ben Arous,900
98000,5,120,"Ben arous, Ben arous",Ben Arous,816.6666667
98000,5,120,"Ben arous, Ben arous",Ben Arous,816.6666667
105000,5,70,"Ben arous, Ben arous",Ben Arous,1500
105000,5,70,"Ben arous, Ben arous",Ben Arous,1500
110000,5,120,"Ben arous, Ben arous",Ben Arous,916.6666667
110000,5,90,"Ben arous, Ben arous",Ben Arous,1222.222222
110000,5,110,"Ben arous, Ben arous",Ben Arous,1000
110000,5,115,"Ben arous, Ben arous",Ben Arous,956.5217391
110000,5,110,"Ben arous, Ben arous",Ben Arous,1000
110000,5,110,"Ben arous, Ben arous",Ben Arous,1000
110000,5,75,"Ben arous, Ben arous",Ben Arous,1466.666667
135000,5,89,"Ben arous, Ben arous",Ben Arous,1516.853933
140436,5,89,"Ben arous, Ben arous",Ben Arous,1577.932584
150000,5,99,"Ben arous, Ben arous",Ben Arous,1515.151515
150000,5,99,"Ben arous, Ben arous",Ben Arous,1515.151515
155000,5,103,"Ben arous, Ben arous",Ben Arous,1504.854369
160000,5,124,"Ben arous, Ben arous",Ben Arous,1290.322581
165000,5,304,"Ben arous, Ben arous",Ben Arous,542.7631579
165000,5,300,"Ben arous, Ben arous",Ben Arous,550
170000,5,95,"Ben arous, Ben arous",Ben Arous,1789.473684
181238,5,115,"Ben arous, Ben arous",Ben Arous,1575.982609
187000,5,99,"Ben arous, Ben arous",Ben Arous,1888.888889
190000,5,125,"Ben arous, Ben arous",Ben Arous,1520
195000,5,136,"Ben arous, Ben arous",Ben Arous,1433.823529
195000,5,136,"Ben arous, Ben arous",Ben Arous,1433.823529
195000,5,136,"Ben arous, Ben arous",Ben Arous,1433.823529
195000,5,136,"Ben arous, Ben arous",Ben Arous,1433.823529
195000,5,136,"Ben arous, Ben arous",Ben Arous,1433.823529
217000,5,127,"Ben arous, Ben arous",Ben Arous,1708.661417
217355,5,134,"Ben arous, Ben arous",Ben Arous,1622.052239
218000,5,134,"Ben arous, Ben arous",Ben Arous,1626.865672
218000,5,134,"Ben arous, Ben arous",Ben Arous,1626.865672
219000,5,127,"Ben arous, Ben arous",Ben Arous,1724.409449
220000,5,127,"Ben arous, Ben arous",Ben Arous,1732.283465
220000,5,135,"Ben arous, Ben arous",Ben Arous,1629.62963
220000,5,135,"Ben arous, Ben arous",Ben Arous,1629.62963
220000,5,120,"Ben arous, Ben arous",Ben Arous,1833.333333
220000,5,135,"Ben arous, Ben arous",Ben Arous,1629.62963
220000,5,135,"Ben arous, Ben arous",Ben Arous,1629.62963
220000,5,135,"Ben arous, Ben arous",Ben Arous,1629.62963
221000,5,121,"Ben arous, Ben arous",Ben Arous,1826.446281
221000,5,121,"Ben arous, Ben arous",Ben Arous,1826.446281
230000,5,127,"Ben arous, Ben arous",Ben Arous,1811.023622
230000,5,160,"Ben arous, Ben arous",Ben Arous,1437.5
245000,5,134,"Ben arous, Ben arous",Ben Arous,1828.358209
252017,5,180,"Ben arous, Ben arous",Ben Arous,1400.094444
290000,5,70,"Ben arous, Ben arous",Ben Arous,4142.857143
290000,5,70,"Ben arous, Ben arous",Ben Arous,4142.857143
190000,4,126,"Ben arous, Ben arous",Ben Arous,1507.936508
179000,4,136,"Ben arous, Ben arous",Ben Arous,1316.176471
140000,3,100,"Ben arous, Ben arous",Ben Arous,1400
160000,4,117,"Ben arous, Ben arous",Ben Arous,1367.521368
59000,4,76,"Ben arous, Ben arous",Ben Arous,776.3157895
82000,3,80,"Ben arous, Ben arous",Ben Arous,1025
207000,4,126,"Ben arous, Ben arous",Ben Arous,1642.857143
130000,3,97,"Ben arous, Ben arous",Ben Arous,1340.206186
178000,2,76,"Ben arous, Ben arous",Ben Arous,2342.105263
227000,3,120,"Ben arous, Ben arous",Ben Arous,1891.666667
140000,3,100,"Ben arous, Ben arous",Ben Arous,1400
2000,4,110,"Ben arous, Ben arous",Ben Arous,18.18181818
130000,3,97,"Ben arous, Ben arous",Ben Arous,1340.206186
277000,3,120,"Ben arous, Ben arous",Ben Arous,2308.333333
150000,4,102,"Ben arous, Ben arous",Ben Arous,1470.588235
130000,3,97,"Ben arous, Ben arous",Ben Arous,1340.206186
140000,3,100,"Ben arous, Ben arous",Ben Arous,1400
135000,5,110,"Ben arous, Ben arous",Ben Arous,1227.272727
220000,4,126,"Ben arous, Ben arous",Ben Arous,1746.031746
97000,2,80,"Ben arous, Boumhel",Boumhel,1212.5
123000,2,70,"Ben arous, Boumhel",Boumhel,1757.142857
139000,2,75,"Ben arous, Boumhel",Boumhel,1853.333333
158250,2,75,"Ben arous, Boumhel",Boumhel,2110
160000,2,110,"Ben arous, Boumhel",Boumhel,1454.545455
170000,2,75,"Ben arous, Boumhel",Boumhel,2266.666667
180000,2,210,"Ben arous, Boumhel",Boumhel,857.1428571
87000,3,100,"Ben arous, Boumhel",Boumhel,870
98000,3,80,"Ben arous, Boumhel",Boumhel,1225
100000,3,56,"Ben arous, Boumhel",Boumhel,1785.714286
100000,3,56,"Ben arous, Boumhel",Boumhel,1785.714286
123000,3,70,"Ben arous, Boumhel",Boumhel,1757.142857
