Price,Room,Sqr_Meter,Location
100000,2,72,"Ben arous, Ben arous"
85000,3,85,"Ben arous, Ben arous"
85000,3,80,"Ben arous, Ben arous"
135000,3,110,"Ben arous, Ben arous"
160000,3,100,"Ben arous, Ben arous"
170000,3,140,"Ben arous, Ben arous"
184000,3,101,"Ben arous, Ben arous"
190000,3,112,"Ben arous, Ben arous"
238000,3,113,"Ben arous, Ben arous"
320000,3,250,"Ben arous, Ben arous"
70000,4,55,"Ben arous, Ben arous"
72000,4,55,"Ben arous, Ben arous"
80000,4,75,"Ben arous, Ben arous"
90000,4,85,"Ben arous, Ben arous"
95000,4,54,"Ben arous, Ben arous"
95000,4,54,"Ben arous, Ben arous"
100000,4,90,"Ben arous, Ben arous"
105000,4,65,"Ben arous, Ben arous"
105000,4,80,"Ben arous, Ben arous"
120000,4,55,"Ben arous, Ben arous"
120000,4,85,"Ben arous, Ben arous"
120000,4,74,"Ben arous, Ben arous"
130000,4,110,"Ben arous, Ben arous"
130000,4,97,"Ben arous, Ben arous"
135000,4,97,"Ben arous, Ben arous"
135000,4,110,"Ben arous, Ben arous"
135000,4,97,"Ben arous, Ben arous"
140000,4,100,"Ben arous, Ben arous"
150000,4,120,"Ben arous, Ben arous"
155000,4,85,"Ben arous, Ben arous"
155000,4,103,"Ben arous, Ben arous"
160000,4,89,"Ben arous, Ben arous"
163620,4,101,"Ben arous, Ben arous"
164000,4,101,"Ben arous, Ben arous"
164000,4,101,"Ben arous, Ben arous"
170000,4,111,"Ben arous, Ben arous"
170000,4,111,"Ben arous, Ben arous"
170000,4,112,"Ben arous, Ben arous"
170000,4,93,"Ben arous, Ben arous"
173000,4,100,"Ben arous, Ben arous"
184000,4,101,"Ben arous, Ben arous"
185000,4,150,"Ben arous, Ben arous"
185000,4,136,"Ben arous, Ben arous"
200000,4,140,"Ben arous, Ben arous"
220000,4,115,"Ben arous, Ben arous"
220000,4,100,"Ben arous, Ben arous"
225000,4,144,"Ben arous, Ben arous"
230000,4,133,"Ben arous, Ben arous"
235000,4,147,"Ben arous, Ben arous"
235000,4,147,"Ben arous, Ben arous"
240000,4,130,"Ben arous, Ben arous"
250000,4,125,"Ben arous, Ben arous"
260000,4,97,"Ben arous, Ben arous"
270000,4,127,"Ben arous, Ben arous"
320000,4,210,"Ben arous, Ben arous"
320000,4,210,"Ben arous, Ben arous"
65000,5,75,"Ben arous, Ben arous"
65000,5,75,"Ben arous, Ben arous"
65000,5,75,"Ben arous, Ben arous"
65000,5,75,"Ben arous, Ben arous"
68000,5,100,"Ben arous, Ben arous"
80000,5,82,"Ben arous, Ben arous"
90000,5,100,"Ben arous, Ben arous"
98000,5,120,"Ben arous, Ben arous"
98000,5,120,"Ben arous, Ben arous"
105000,5,70,"Ben arous, Ben arous"
105000,5,70,"Ben arous, Ben arous"
110000,5,120,"Ben arous, Ben arous"
110000,5,90,"Ben arous, Ben arous"
110000,5,110,"Ben arous, Ben arous"
110000,5,115,"Ben arous, Ben arous"
110000,5,110,"Ben arous, Ben arous"
110000,5,110,"Ben arous, Ben arous"
110000,5,75,"Ben arous, Ben arous"
135000,5,89,"Ben arous, Ben arous"
140436,5,89,"Ben arous, Ben arous"
150000,5,99,"Ben arous, Ben arous"
150000,5,99,"Ben arous, Ben arous"
155000,5,103,"Ben arous, Ben arous"
160000,5,124,"Ben arous, Ben arous"
165000,5,304,"Ben arous, Ben arous"
165000,5,300,"Ben arous, Ben arous"
170000,5,95,"Ben arous, Ben arous"
181238,5,115,"Ben arous, Ben arous"
187000,5,99,"Ben arous, Ben arous"
190000,5,125,"Ben arous, Ben arous"
195000,5,136,"Ben arous, Ben arous"
195000,5,136,"Ben arous, Ben arous"
195000,5,136,"Ben arous, Ben arous"
195000,5,136,"Ben arous, Ben arous"
195000,5,136,"Ben arous, Ben arous"
217000,5,127,"Ben arous, Ben arous"
217355,5,134,"Ben arous, Ben arous"
218000,5,134,"Ben arous, Ben arous"
218000,5,134,"Ben arous, Ben arous"
219000,5,127,"Ben arous, Ben arous"
220000,5,127,"Ben arous, Ben arous"
220000,5,135,"Ben arous, Ben arous"
220000,5,135,"Ben arous, Ben arous"
220000,5,120,"Ben arous, Ben arous"
220000,5,135,"Ben arous, Ben arous"
220000,5,135,"Ben arous, Ben arous"
220000,5,135,"Ben arous, Ben arous"
221000,5,121,"Ben arous, Ben arous"
221000,5,121,"Ben arous, Ben arous"
230000,5,127,"Ben arous, Ben arous"
230000,5,160,"Ben arous, Ben arous"
245000,5,134,"Ben arous, Ben arous"
252017,5,180,"Ben arous, Ben arous"
290000,5,70,"Ben arous, Ben arous"
290000,5,70,"Ben arous, Ben arous"
190000,4,126,"Ben arous, Ben arous"
179000,4,136,"Ben arous, Ben arous"
140000,3,100,"Ben arous, Ben arous"
160000,4,117,"Ben arous, Ben arous"
59000,4,76,"Ben arous, Ben arous"
82000,3,80,"Ben arous, Ben arous"
207000,4,126,"Ben arous, Ben arous"
130000,3,97,"Ben arous, Ben arous"
178000,2,76,"Ben arous, Ben arous"
227000,3,120,"Ben arous, Ben arous"
140000,3,100,"Ben arous, Ben arous"
2000,4,110,"Ben arous, Ben arous"
130000,3,97,"Ben arous, Ben arous"
277000,3,120,"Ben arous, Ben arous"
150000,4,102,"Ben arous, Ben arous"
130000,3,97,"Ben arous, Ben arous"
140000,3,100,"Ben arous, Ben arous"
135000,5,110,"Ben arous, Ben arous"
220000,4,126,"Ben arous, Ben arous"
97000,2,80,"Ben arous, Boumhel"
123000,2,70,"Ben arous, Boumhel"
139000,2,75,"Ben arous, Boumhel"
158250,2,75,"Ben arous, Boumhel"
160000,2,110,"Ben arous, Boumhel"
170000,2,75,"Ben arous, Boumhel"
180000,2,210,"Ben arous, Boumhel"
87000,3,100,"Ben arous, Boumhel"
98000,3,80,"Ben arous, Boumhel"
100000,3,56,"Ben arous, Boumhel"
100000,3,56,"Ben arous, Boumhel"
123000,3,70,"Ben arous, Boumhel"
125000,3,78,"Ben arous, Boumhel"
125000,3,70,"Ben arous, Boumhel"
125000,3,76,"Ben arous, Boumhel"
125000,3,76,"Ben arous, Boumhel"
130000,3,80,"Ben arous, Boumhel"
131000,3,82,"Ben arous, Boumhel"
140000,3,90,"Ben arous, Boumhel"
155000,3,108,"Ben arous, Boumhel"
159000,3,112,"Ben arous, Boumhel"
160000,3,70,"Ben arous, Boumhel"
162000,3,113,"Ben arous, Boumhel"
162000,3,113,"Ben arous, Boumhel"
165000,3,90,"Ben arous, Boumhel"
170000,3,110,"Ben arous, Boumhel"
175000,3,110,"Ben arous, Boumhel"
175000,3,110,"Ben arous, Boumhel"
175000,3,110,"Ben arous, Boumhel"
